Iterating over heap. This may take a while...
Object Histogram:

num       #instances    #bytes  Class description
--------------------------------------------------------------------------
382:            134     4288    java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry
383:            176     4224    sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
384:            175     4200    org.springframework.beans.factory.config.ConstructorArgumentValues
385:            175     4200    org.springframework.beans.MutablePropertyValues
386:            128     4096    com.sun.jmx.mbeanserver.ConvertingMethod
387:            256     4096    java.lang.Short
388:            162     4008    javax.management.MBeanParameterInfo[]
389:            124     3968    java.lang.StackTraceElement
390:            124     3968    sun.reflect.generics.tree.MethodTypeSignature
391:            10      3840    org.apache.tomcat.util.threads.TaskThread
392:            96      3840    java.text.DigitList
393:            80      3840    org.apache.tomcat.util.buf.CharChunk
394:            139     3760    javax.management.ObjectName$Property[]
395:            15      3720    com.mysql.jdbc.MysqlIO
396:            155     3720    javax.management.ObjectName$Property
397:            92      3680    org.springframework.beans.factory.support.DisposableBeanAdapter
398:            65      3640    org.apache.tomcat.util.modeler.ManagedBean
399:            113     3616    org.xml.sax.helpers.LocatorImpl
400:            221     3536    java.util.LinkedHashMap$LinkedKeySet
401:            88      3520    java.io.ObjectStreamField
402:            72      3456    org.apache.tomcat.util.buf.MessageBytes
403:            85      3400    sun.security.rsa.RSAPublicKeyImpl
404:            192     3376    sun.reflect.generics.tree.FormalTypeParameter[]
405:            102     3264    org.springframework.beans.factory.annotation.InjectionMetadata
406:            81      3240    java.security.AccessControlContext
407:            35      3080    java.util.jar.JarVerifier
408:            77      3080    org.apache.tomcat.util.digester.CallParamRule
409:            64      3072    java.beans.BeanDescriptor
410:            191     3056    java.util.LinkedHashMap$LinkedValues
411:            68      3056    java.lang.invoke.LambdaForm$Name[]
412:            126     3024    org.apache.commons.logging.impl.Log4JLogger
413:            63      3024    java.lang.invoke.LambdaForm
414:            94      3008    java.util.Collections$SynchronizedMap
415:            125     3000    sun.reflect.NativeMethodAccessorImpl
416:            124     2976    sun.reflect.generics.scope.MethodScope
417:            74      2960    ch.qos.logback.core.status.InfoStatus
418:            166     2960    java.lang.reflect.TypeVariable[]
419:            28      2912    java.lang.invoke.MethodHandle[]
420:            181     2896    java.util.LinkedHashMap$LinkedEntrySet
421:            45      2880    javax.management.openmbean.OpenMBeanAttributeInfoSupport
422:            88      2816    com.alibaba.fastjson.parser.SymbolTable$Entry
423:            39      2808    com.mysql.jdbc.ConnectionPropertiesImpl$LongConnectionProperty
424:            83      2808    javax.management.MBeanOperationInfo[]
425:            70      2800    javax.management.ObjectName
426:            175     2800    org.springframework.beans.factory.support.MethodOverrides
427:            47      2752    com.sun.org.apache.xerces.internal.util.SymbolHash$Entry[]
428:            49      2744    org.jsoup.nodes.Document
429:            49      2744    java.lang.invoke.MethodTypeForm
430:            49      2744    org.apache.catalina.webresources.JarResource
431:            31      2728    org.apache.catalina.webresources.CachedResource
432:            85      2720    org.apache.log4j.ProvisionNode
433:            85      2720    sun.security.x509.BasicConstraintsExtension
